ad	close_elec	tot_elec	close_prop
23	27	90	0.3
24	5	17	0.294117647059
26	7	36	0.194444444444
27	6	35	0.171428571429
28	10	43	0.232558139535
30	14	59	0.237288135593
38	2	12	0.166666666667
40	8	30	0.266666666667
41	18	97	0.185567010309
42	12	42	0.285714285714
43	1	6	0.166666666667
44	5	30	0.166666666667
45	27	126	0.214285714286
46	38	195	0.194871794872
47	21	108	0.194444444444
48	28	120	0.233333333333
49	17	78	0.217948717949
51	5	18	0.277777777778
55	1	4	0.25
59	20	81	0.246913580247
61	7	42	0.166666666667
63	30	168	0.178571428571
64	13	48	0.270833333333
66	1	3	0.333333333333
73	6	24	0.25
82	6	36	0.166666666667
87	1	6	0.166666666667
